nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.2523%	3000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527164
10	10, 9, 7, 6	[0, 0, 0, 0, 1, 0, 0, 1, 1, 0][0, 0, 0, 1, 0, 1, 1, 0, 1, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 1, 1, 0, 1, 1, 1, 1]	67.9550%	3000	0.125, 0.25, 0.5, 0.75	0.25	0.526518
10	10, 9, 7, 6	[0, 1, 1, 0, 1, 0, 1, 1, 1, 1][0, 0, 0, 1, 1, 0, 0, 1, 1, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 1, 1, 1, 1, 1, 0, 1, 0]	66.7955%	3000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.512403
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.6008%	3000	0.125, 0.25, 0.5, 0.75	0.25	0.494436
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.9712%	3000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.497423
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 0, 0, 1, 0, 1, 1, 0]	67.9550%	4000	0.5, 0.25	0.5	0.526518
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 1, 1, 0, 1, 1, 1, 1]	67.4280%	4000	0.5, 0.25	0.8, 0.2	0.509748
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.4793%	4000	0.5, 0.25	0.5	0.525108
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.5334%	4000	0.5, 0.25	0.8, 0.2	0.509738
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 1, 1, 1, 1, 0, 0, 0]	67.9550%	4000	0.5, 0.75	0.5	0.526518
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 1, 0, 1, 0, 1, 0, 0, 1]	67.7793%	4000	0.5, 0.75	0.9, 0.1	0.522365
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.2523%	4000	0.5, 0.75	0.5	0.612710
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.6037%	4000	0.5, 0.75	0.9, 0.1	0.522636
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 1, 0, 0, 0, 1, 0, 1, 1, 0]	67.9550%	4000	0.5, 0.125	0.5	0.526518
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 1, 1, 0, 1, 0, 0, 1, 0, 1]	67.4280%	4000	0.5, 0.125	0.9, 0.1	0.469572
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.0928%	4000	0.5, 0.125	0.5	0.349698
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.4280%	4000	0.5, 0.125	0.9, 0.1	0.469587
10	10, 9, 7, 6	[1, 0, 1, 0, 0, 1, 1, 0, 0, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 1, 1, 1, 0, 0, 1, 0, 1, 1]	67.9550%	4000	0.25, 0.5, 0.75	0.3333333333333333	0.526518
10	10, 9, 7, 6	[1, 1, 1, 0, 1, 0, 1, 1, 1, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 0, 1, 1, 1, 0, 1, 1, 1]	67.7442%	4000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527170
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	65.9874%	4000	0.25, 0.5, 0.75	0.3333333333333333	0.591907
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	68.0604%	4000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527824
10	10, 9, 7, 6	[0, 1, 1, 1, 0, 1, 1, 1, 0, 1][0, 1, 0, 0, 1, 1, 1, 0, 0, 0][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 1, 1, 0, 0, 1, 1, 0]	68.0956%	4000	0.125, 0.25, 0.5, 0.75	0.25	0.527104
10	10, 9, 7, 6	[0, 0, 1, 0, 0, 0, 1, 1, 1, 1][1, 1, 1, 0, 1, 0, 1, 0, 0, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 0, 1, 1, 1, 1, 1, 1]	67.8496%	4000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.512634
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.1982%	4000	0.125, 0.25, 0.5, 0.75	0.25	0.494761
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.6739%	4000	0.125, 0.25, 0.5, 0.75	0.1, 0.1, 0.7, 0.1	0.497422
13	13, 12, 10, 9	[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]	56.4301%	1000	0.5	1.0	0.499667
13	13, 12, 10, 9	[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]	57.7301%	2000	0.5	1.0	0.499667
13	13, 12, 10, 9	[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]	58.1518%	3000	0.5	1.0	0.499667
13	13, 12, 10, 9	[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]	58.2923%	4000	0.5	1.0	0.499667
13	13, 12, 10, 9	[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]	56.8166%	1000	0.5	1.0	0.499840
13	13, 12, 10, 9	[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]	57.7301%	2000	0.5	1.0	0.499840
13	13, 12, 10, 9	[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]	58.0464%	3000	0.5	1.0	0.499840
13	13, 12, 10, 9	[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]	58.3275%	4000	0.5	1.0	0.499840
13	13, 12, 10, 9	[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]	56.1490%	1000	0.5	1.0	0.499948
13	13, 12, 10, 9	[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]	57.2734%	2000	0.5	1.0	0.499948
13	13, 12, 10, 9	[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]	58.2923%	3000	0.5	1.0	0.499948
13	13, 12, 10, 9	[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]	58.6086%	4000	0.5	1.0	0.499948
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	56.4301%	1000	0.5	1.0	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	57.4139%	2000	0.5	1.0	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.0112%	3000	0.5	1.0	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	58.6788%	4000	0.5	1.0	0.500322
13	13, 12, 10, 9	[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0][0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]	56.4301%	1000	0.5, 0.25	0.5	0.500322
